commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate,Year
1301,5250,0,0,441,0,0,441,0,0,2,2024-09-05T00:00:00,2024
1301,5330,2699,13671,38044,6468,5429,51715,0,0,2,2024-09-05T00:00:00,2024
1301,5350,0,3042,5461,2854,2854,8503,0,0,2,2024-09-05T00:00:00,2024
1301,5380,968,1226,2666,602,602,3892,0,0,2,2024-09-05T00:00:00,2024
1301,5490,176,694,690,0,0,1384,0,0,2,2024-09-05T00:00:00,2024
1301,5520,1232,6985,4192,0,0,11177,0,0,2,2024-09-05T00:00:00,2024
1301,5570,0,86,0,0,0,86,0,0,2,2024-09-05T00:00:00,2024
1301,5600,0,352,437,0,0,789,0,0,2,2024-09-05T00:00:00,2024
1301,5700,523,5775,6237,0,0,12012,0,0,2,2024-09-05T00:00:00,2024
1301,5800,0,172,0,0,0,172,0,0,2,2024-09-05T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-09-05T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-09-05T00:00:00,2024
1301,5880,172,697,788,176,176,1485,0,0,2,2024-09-05T00:00:00,2024
1301,7290,0,0,6349,0,0,6349,0,0,2,2024-09-05T00:00:00,2024
1301,7740,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,2,0,0,0,0,0,0,0,0,2,2024-09-05T00:00:00,2024
1301,2010,0,0,87,0,0,87,0,0,2,2024-09-12T00:00:00,2024
1301,2050,0,88,791,176,175,879,0,0,2,2024-09-12T00:00:00,2024
1301,2110,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,2150,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,3010,0,174,391,0,0,565,0,0,2,2024-09-12T00:00:00,2024
1301,3330,0,3772,13191,0,0,16963,0,0,2,2024-09-12T00:00:00,2024
1301,3510,0,440,440,0,0,880,0,0,2,2024-09-12T00:00:00,2024
1301,4120,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,4280,0,440,440,0,0,880,0,0,2,2024-09-12T00:00:00,2024
1301,4330,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,4351,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,4410,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,4750,0,1337,4074,0,0,5411,0,0,2,2024-09-12T00:00:00,2024
1301,4792,0,176,0,0,0,176,0,0,2,2024-09-12T00:00:00,2024
1301,4840,0,0,0,0,0,0,0,0,2,2024-09-12T00:00:00,2024
1301,4890,0,348,695,0,0,1043,0,0,2,2024-09-12T00:00:00,2024
1301,5200,0,0,430,0,0,430,0,0,2,2024-09-12T00:00:00,2024
1301,5250,0,0,441,0,0,441,0,0,2,2024-09-12T00:00:00,2024
1301,5330,1739,15410,48602,12297,12297,64012,0,0,2,2024-09-12T00:00:00,2024
1301,5350,0,3042,5461,0,0,8503,0,0,2,2024-09-12T00:00:00,2024
1301,5380,0,1226,2927,261,261,4153,0,0,2,2024-09-12T00:00:00,2024
1301,5490,0,694,690,0,0,1384,0,0,2,2024-09-12T00:00:00,2024
1301,5520,1583,8568,3479,870,870,12047,0,0,2,2024-09-12T00:00:00,2024
1301,5570,0,86,0,0,0,86,0,0,2,2024-09-12T00:00:00,2024
1301,5600,261,613,176,0,0,789,0,0,2,2024-09-12T00:00:00,2024
1301,5700,880,6655,5357,0,0,12012,0,0,2,2024-09-12T00:00:00,2024
1301,5800,0,172,345,345,345,517,0,0,2,2024-09-12T00:00:00,2024
1301,5820,0,0,590,0,0,590,0,0,2,2024-09-12T00:00:00,2024
1301,5830,0,435,0,0,0,435,0,0,2,2024-09-12T00:00:00,2024
1301,5880,0,697,874,86,86,1571,0,0,2,2024-09-12T00:00:00,2024
1301,7290,0,0,6349,0,0,6349,0,0,2,2024-09-12T00:00:00,2024
